Тип товара интернет ;Вид светильника интернет ;"Шаблон ""Наименование"" - пример как может выглядеть" ;Функциональный вид - особенность web ;Тип монтажа/установки ;Единственное число для товара
Люстры ;Потолочные люстры ;Потолочная люстра {$vendor} {$collection} {$article} ;"рожковые, кольца, каскадные, молекулы, хрустальные, дизайнерские, светодиодные, ""барабан"", буше, детские" ; ;Потолочная люстра
Люстры ;Подвесные люстры ;Подвесная люстра {$vendor} {$collection} {$article} ;"рожковые, кольца, каскадные, пауки, молекулы, хрустальные, дизайнерские, светодиодные, ""барабан"", детские" ; ;Подвесная люстра
Люстры ;Люстры на штанге ;Люстра на штанге {$vendor} {$collection} {$article} ;"рожковые, кольца, каскадные, молекулы, хрустальные, дизайнерские, светодиодные, ""барабан"", буше, детские" ; ;Люстра на штанге
Подвесные светильники ; ;Подвесной светильник {$vendor} {$collection} {$article} ;шар, цилиндр, купол, клетки, дизайнерские, каскадные, линейные, детские ; ;Подвесной светильник
Потолочные светильники ; ;Потолочный светильник {$vendor} {$collection} {$article} ;круглые, квадратные, фигурные, дизайнерские, детские ;встраиваемые, накладные ;Потолочный светильник
Настенные светильники и бра ;Настенные светильники ;Настенный светильник {$vendor} {$collection} {$article} ; ; ;Настенный светильник
Настенные светильники и бра ;Настенно-потолочные светильники ;Настенно-потолочный светильник {$vendor} {$collection} {$article} ; ; ;Настенно-потолочный светильник
Настенные светильники и бра ;Бра ;Бра {$vendor} {$collection} {$article} ;бра с одним плафоном, бра с двумя и более плафонами, бра на гибкой ножке, бра с подсветкой, бра с полкой, детские ; ;Бра
Настольные лампы и ночники ;Декоративные настольные лампы ;Декоративная настольная лампа {$vendor} {$collection} {$article} ; ; ;Декоративная настольная лампа
Настольные лампы и ночники ;Офисные настольные лампы ;Офисная настольная лампа {$vendor} {$collection} {$article} ; ; ;Офисная настольная лампа
Настольные лампы и ночники ;Кабинетные настольные лампы ;Кабинетная настольная лампа {$vendor} {$collection} {$article} ; ; ;Кабинетная настольная лампа
